analysis,contrast,backbone,n_pairs,mean_difference,cohens_d,lmm_p,bayesian_P_superiority,metric
Mixed vs single-source,N10: Mixed vs single(pooled),Combined,18,0.0139,0.73,0.024,0.91,minority-class F1
Mixed vs single-source,N30: Mixed vs GPT,DenseNet-121,9,0.0004,0.01,0.967,0.509,minority-class F1
Mixed vs single-source,N30: Mixed vs GPT,Swin-Tiny,9,0.0107,0.26,0.444,0.667,minority-class F1
Mixed vs single-source,N30: Mixed vs GPT,Combined,18,0.0055,0.16,0.498,0.619,minority-class F1
Mixed vs single-source,N30: Mixed vs Nano,DenseNet-121,9,-0.0083,-0.23,0.483,0.346,minority-class F1
Mixed vs single-source,N30: Mixed vs Nano,Swin-Tiny,9,0.007,0.17,0.608,0.614,minority-class F1
Mixed vs single-source,N30: Mixed vs Nano,Combined,18,-0.0006,-0.02,0.943,0.487,minority-class F1
Mixed vs single-source,N30: Mixed vs single(pooled),DenseNet-121,9,-0.004,-0.16,0.684,0.393,minority-class F1
Mixed vs single-source,N30: Mixed vs single(pooled),Swin-Tiny,9,0.0088,0.24,0.427,0.655,minority-class F1
Mixed vs single-source,N30: Mixed vs single(pooled),Combined,18,0.0024,0.08,0.74,0.559,minority-class F1
