contrast,backbone,n_pairs,mean_difference,cohens_d,lmm_p,bayesian_P_superiority,metric
Nano-35 vs Focal loss,DenseNet-121,15,0.007,0.12,0.6528,0.585,minority-class F1
Nano-35 vs Focal loss,Swin-Tiny,15,0.0236,0.52,0.0454,0.827,minority-class F1
Nano-35 vs Focal loss,Combined,30,0.0153,0.29,0.1161,0.715,minority-class F1
Nano-35 vs Class-weighted BCE,DenseNet-121,15,0.0154,0.17,0.5029,0.625,minority-class F1
Nano-35 vs Class-weighted BCE,Swin-Tiny,15,0.0101,0.22,0.3856,0.66,minority-class F1
Nano-35 vs Class-weighted BCE,Combined,30,0.0127,0.18,0.3143,0.642,minority-class F1
Mixed-70 vs WRS baseline,DenseNet-121,15,0.0351,0.44,0.0764,0.791,minority-class F1
Mixed-70 vs WRS baseline,Swin-Tiny,15,0.0412,0.7,0.0068,0.896,minority-class F1
Mixed-70 vs WRS baseline,Combined,30,0.0381,0.55,0.0024,0.863,minority-class F1
Mixed-70 vs ROS-35,DenseNet-121,15,0.0333,0.45,0.0837,0.793,minority-class F1
Mixed-70 vs ROS-35,Swin-Tiny,15,0.0393,0.8,0.0019,0.924,minority-class F1
Mixed-70 vs ROS-35,Combined,30,0.0363,0.58,0.0014,0.875,minority-class F1
Mixed-70 vs ROS-70,DenseNet-121,15,0.0111,0.21,0.4081,0.653,minority-class F1
Mixed-70 vs ROS-70,Swin-Tiny,15,0.0208,0.4,0.1256,0.766,minority-class F1
Mixed-70 vs ROS-70,Combined,30,0.0159,0.31,0.0904,0.73,minority-class F1
Mixed-70 vs RUS-35,DenseNet-121,15,0.0611,0.74,0.0043,0.907,minority-class F1
Mixed-70 vs RUS-35,Swin-Tiny,15,0.0292,0.53,0.0416,0.831,minority-class F1
Mixed-70 vs RUS-35,Combined,30,0.0451,0.63,0.0005,0.893,minority-class F1
Mixed-70 vs RUS-70,DenseNet-121,15,0.0438,0.74,0.0043,0.907,minority-class F1
Mixed-70 vs RUS-70,Swin-Tiny,15,0.0154,0.42,0.101,0.781,minority-class F1
Mixed-70 vs RUS-70,Combined,30,0.0296,0.59,0.0013,0.875,minority-class F1
Mixed-70 vs Focal loss,DenseNet-121,15,0.0234,0.46,0.076,0.799,minority-class F1
Mixed-70 vs Focal loss,Swin-Tiny,15,0.0378,0.78,0.0027,0.917,minority-class F1
Mixed-70 vs Focal loss,Combined,30,0.0306,0.62,0.0007,0.887,minority-class F1
Mixed-70 vs Class-weighted BCE,DenseNet-121,15,0.0318,0.47,0.066,0.807,minority-class F1
Mixed-70 vs Class-weighted BCE,Swin-Tiny,15,0.0242,0.41,0.1098,0.775,minority-class F1
Mixed-70 vs Class-weighted BCE,Combined,30,0.028,0.45,0.0133,0.814,minority-class F1
